Genus	Species	tax ID
Acetomicrobium		49896
Acetomicrobium		97477
Acetomicrobium		408175
Acetomicrobium		467136
Acetomicrobium		467137
Acetomicrobium		467138
Acetomicrobium		467139
Acetomicrobium		467140
Acetomicrobium		649746
Acetomicrobium		761170
Acetomicrobium		761171
Acetomicrobium		1120986
Acetomicrobium		1331698
Acetomicrobium		1331699
Acetomicrobium		1748312
Acetomicrobium		1872099
Acetomicrobium		1946038
Acetomicrobium		1946039
Acetomicrobium		2529858
Acetomicrobium		2627317
Acetomicrobium	Acetomicrobium hydrogeniformans	592015
Acetomicrobium	Acetomicrobium mobile	891968
Acetomicrobium	Acetomicrobium thermoterrenum	1120987
Achromobacter		223
Achromobacter		224
Achromobacter		32002
Achromobacter		37486
Achromobacter		72556
Achromobacter		72557
Achromobacter		85698
Achromobacter		104199
Achromobacter		129026
Achromobacter		134375
Achromobacter		182689
Achromobacter		182690
Achromobacter		184052
Achromobacter		186676
Achromobacter		190863
Achromobacter		217203
Achromobacter		217204
Achromobacter		222677
Achromobacter		222678
Achromobacter		222679
Achromobacter		234900
Achromobacter		273797
Achromobacter		278063
Achromobacter		279142
Achromobacter		279239
Achromobacter		279264
Achromobacter		279349
Achromobacter		281110
Achromobacter		281184
Achromobacter		283883
Achromobacter		293093
Achromobacter		301442
Achromobacter		301705
Achromobacter		304376
Achromobacter		307848
Achromobacter		322158
Achromobacter		325396
Achromobacter		325424
Achromobacter		335444
Achromobacter		335680
Achromobacter		338616
Achromobacter		338942
Achromobacter		349091
Achromobacter		359071
Achromobacter		360064
Achromobacter		360084
Achromobacter		360188
Achromobacter		365618
Achromobacter		370869
Achromobacter		370874
Achromobacter		370877
Achromobacter		370879
Achromobacter		373895
Achromobacter		376369
Achromobacter		386315
Achromobacter		386914
Achromobacter		386915
Achromobacter		386916
Achromobacter		398695
Achromobacter		399600
Achromobacter		400633
Achromobacter		402763
Achromobacter		405364
Achromobacter		405675
Achromobacter		407153
Achromobacter		408559
Achromobacter		409327
Achromobacter		410055
Achromobacter		410062
Achromobacter		410351
Achromobacter		418040
Achromobacter		418925
Achromobacter		419091
Achromobacter		421622
Achromobacter		421992
Achromobacter		427373
Achromobacter		429725
Achromobacter		433341
Achromobacter		434011
Achromobacter		436650
Achromobacter		443079
Achromobacter		443108
Achromobacter		446362
Achromobacter		447457
Achromobacter		449667
Achromobacter		450601
Achromobacter		454927
Achromobacter		458213
Achromobacter		462352
Achromobacter		466043
Achromobacter		470868
Achromobacter		480817
Achromobacter		481819
Achromobacter		483212
Achromobacter		483478
Achromobacter		483479
Achromobacter		485533
Achromobacter		489936
